station_id,lga_code
082039,10050
055024,10130
058012,10250
076031,10300
063005,10470
066037,10500
084016,10550
058012,10600
082039,10650
066062,10750
072150,10800
063005,10850
066062,10900
055024,10950
044021,11150
055024,11200
076031,11250
066037,11300
058012,11350
063005,11400
066037,11450
066037,11500
066062,11520
066037,11570
072150,11600
066062,11650
076031,11700
061078,11720
058012,11730
072150,11750
058012,11800
072150,12000
055024,12150
072150,12160
063005,12350
066062,12380
063005,12390
061078,12700
080023,12730
069018,12750
066037,12850
082039,12870
063005,12900
066037,12930
055024,12950
058012,13010
069018,13310
072150,13340
072150,13450
055024,13550
055024,13660
066062,13800
080023,13850
072150,13910
066062,14000
066062,14100
066062,14170
055024,14200
072150,14300
058012,14350
066037,14400
066062,14500
058012,14550
063005,14600
061078,14650
066062,14700
072150,14750
058012,14850
063005,14870
066037,14900
055024,14920
072150,14950
061078,15050
061078,15240
063005,15270
055024,15300
066062,15350
080023,15520
082039,15560
061078,15650
058012,15700
055024,15750
072150,15800
063005,15850
061078,15900
066062,15950
066062,15990
063005,16100
063005,16150
063005,16200
066062,16260
066062,16350
061078,16380
061078,16400
069018,16490
066051,16550
058012,16610
066062,16700
066037,16900
069018,16950
061078,17000
069018,17040
072150,17080
066037,17100
066037,17150
066062,17200
055024,17310
072150,17350
058012,17400
066062,17420
040211,17550
055024,17620
063005,17640
055024,17650
072150,17750
055024,17850
055024,17900
055024,17950
055024,18020
066062,18050
063005,18100
076031,18200
066062,18250
066037,18350
066037,18400
066037,18450
066062,18500
072150,18710
076031,19399
082039,20110
090015,20260
087031,20570
086038,20660
087031,20740
085072,20830
087031,20910
082039,21010
086038,21110
086038,21180
080023,21270
080023,21370
086038,21450
086038,21610
087031,21670
090015,21750
090015,21830
086038,21890
085279,22110
087031,22170
080023,22250
086038,22310
026021,22410
087031,22490
086038,22620
086038,22670
087031,22750
082039,22830
087031,22910
080023,22980
087031,23110
026021,23190
086038,23270
082039,23350
086038,23430
086038,23670
085072,23810
080023,23940
086038,24130
086038,24210
082039,24250
086038,24330
086038,24410
086038,24600
087031,24650
076031,24780
086038,24850
082039,24900
086038,24970
086038,25060
087031,25150
086038,25250
087031,25340
086038,25430
090015,25490
086038,25620
086038,25710
080023,25810
086038,25900
087031,25990
087031,26080
085096,26170
026021,26260
086038,26350
086038,26430
090015,26490
080023,26610
082039,26670
082039,26700
090015,26730
085072,26810
026021,26890
086038,26980
086038,27070
082039,27170
087031,27260
086038,27350
086038,27450
080023,27630
086038,29399
028004,30250
044021,30300
039083,30370
044021,30410
038003,30450
044021,30760
038003,30900
040211,31000
044021,31750
039083,31820
032040,31900
037010,31950
031011,32080
028004,32250
031011,32260
039083,32270
032040,32310
040004,32330
038003,32450
028004,32500
030045,32600
038003,32750
037010,32770
031011,32810
030045,33100
030045,33200
040043,33220
039083,33360
040211,33430
040004,33610
040043,33620
032040,33800
028004,33830
040004,33960
033045,33980
028004,34420
039083,34530
028004,34570
040004,34580
040211,34590
030045,34710
033045,34770
030045,34800
028004,34830
044021,34860
028004,34880
040211,35010
037010,35250
037010,35300
044021,35600
028004,35670
040043,35740
039083,35760
028004,35780
032040,35790
044021,35800
028004,36070
044021,36150
040211,36250
030045,36300
039083,36370
040004,36510
040004,36580
040004,36630
040004,36660
040043,36720
031011,36820
040004,36910
028004,36950
028004,36960
032040,37010
028004,37300
040004,37310
033045,37340
030045,37400
039083,37550
031011,37570
031011,37600
023000,40070
023013,40120
023013,40150
023000,40220
017043,40250
023013,40310
023013,40430
076031,40520
023000,40700
023000,40910
018012,41010
023000,41060
023013,41140
018044,41190
017043,41330
023013,41560
018044,41750
016001,41830
018044,41960
023013,42030
023013,42110
026021,42250
023000,42600
023000,42750
023013,43080
018044,43220
026026,43360
023013,43650
018044,43710
023013,43790
011003,44000
023000,44060
023013,44210
023000,44340
023000,44550
026021,44620
016001,44830
023000,45040
026026,45090
023013,45120
023000,45290
023000,45340
016001,45400
023013,45540
023013,45680
023013,45890
016001,46090
018044,46300
023013,46450
023000,46510
076031,46670
026026,46860
016001,46970
023013,47140
023000,47290
018044,47490
026026,47630
023013,47700
023000,47800
018044,47910
023000,47980
023000,48050
023013,48130
023000,48260
026021,48340
023000,48410
018044,48540
018044,48640
023000,48750
023000,48830
016001,49399
009500,50080
009021,50210
005017,50250
009518,50280
009021,50350
009021,50420
009021,50490
010111,50560
010614,50630
009534,50770
009534,50840
010614,50910
003003,50980
009581,51080
010536,51120
009534,51190
009534,51260
009021,51310
009021,51330
009534,51400
008025,51470
006011,51540
008095,51610
009053,51680
009021,51750
009021,51820
009534,51890
012038,51960
008025,52030
010536,52100
009021,52170
009581,52240
010614,52310
007045,52380
010111,52450
008138,52520
008025,52590
009534,52660
009581,52730
002012,52800
009534,52870
008138,52940
010614,53010
012071,53080
009021,53150
003003,53220
012071,53290
005017,53360
009021,53430
009053,53570
009581,53640
008138,53710
009021,53780
008095,53800
002012,53920
009534,53990
008025,54060
009581,54130
009021,54170
009021,54200
012038,54280
004032,54310
010614,54340
010073,54410
010614,54480
009581,54550
010536,54620
008138,54690
010536,54760
009021,54830
010536,54900
012038,54970
012038,55040
009021,55110
009518,55180
007045,55250
009021,55320
012038,55390
010073,55460
008095,55530
008138,55600
008025,55670
009021,55740
007045,55810
008138,55880
010073,55950
009021,56090
008095,56160
009021,56230
009518,56300
010536,56370
010614,56460
009021,56580
015590,56620
010111,56730
008095,56790
010073,56860
009021,56930
008025,57000
009021,57080
010614,57140
009581,57210
004032,57280
